Question,Timestamp,Error
What is my name?,,
Hi there,2025-05-12T16:13:06.750180,
what category is sargassum,2025-05-12T16:16:17.098389,
How long does the PM schedule last?,2025-05-12T16:22:56.544283,
sadsad,2025-05-13T09:03:08.560167,
He,2025-05-13T09:03:18.027944,
He,2025-05-13T09:03:25.836215,
hello,2025-05-13T09:05:00.746030,
ASD,2025-05-13T09:05:32.973965,
Connection error.,2025-05-13T09:07:31.286814,"Q: Where is the PM change request form?
A: 	You can find it [here](https://teams.microsoft.com/...)
Q: What does suppress mean?
A: Suppressing a PM WO prevents it from generating until reactivated.
Q: Training Videos?
A:  	You can find it [here](https://calgarycity.sharepoint.com/:f:/r/sites/PMTeam-CG/Shared%20Documents/Team%20Launchpad%20%F0%9F%9A%80/Training%20Video?csf=1&web=1&e=C2I3AU)"
hi,2025-05-13T09:07:31.323144,
Connection error.,2025-05-13T09:07:37.639716,"Q: Where is the PM change request form?
A: 	You can find it [here](https://teams.microsoft.com/...)
Q: What does suppress mean?
A: Suppressing a PM WO prevents it from generating until reactivated.
Q: Training Videos?
A:  	You can find it [here](https://calgarycity.sharepoint.com/:f:/r/sites/PMTeam-CG/Shared%20Documents/Team%20Launchpad%20%F0%9F%9A%80/Training%20Video?csf=1&web=1&e=C2I3AU)"
hiasdahdaslfhdsf,2025-05-13T09:07:37.656632,
Connection error.,2025-05-13T09:09:05.131945,"Q: Where is the PM change request form?
A: 	You can find it [here](https://teams.microsoft.com/...)
Q: What does suppress mean?
A: Suppressing a PM WO prevents it from generating until reactivated.
Q: Training Videos?
A:  	You can find it [here](https://calgarycity.sharepoint.com/:f:/r/sites/PMTeam-CG/Shared%20Documents/Team%20Launchpad%20%F0%9F%9A%80/Training%20Video?csf=1&web=1&e=C2I3AU)"
sad,2025-05-13T09:09:05.170501,
Connection error.,2025-05-13T09:09:19.900805,"Q: Where is the PM change request form?
A: 	You can find it [here](https://teams.microsoft.com/...)
Q: What does suppress mean?
A: Suppressing a PM WO prevents it from generating until reactivated.
Q: Training Videos?
A:  	You can find it [here](https://calgarycity.sharepoint.com/:f:/r/sites/PMTeam-CG/Shared%20Documents/Team%20Launchpad%20%F0%9F%9A%80/Training%20Video?csf=1&web=1&e=C2I3AU)"
asdasd,2025-05-13T09:09:19.922523,
sadas;fjdsa'hgFJ,2025-05-13T09:09:59.447463,
sadas;fjdsa'hgFJ,2025-05-13T09:10:05.982102,
sadas;fjdsa'hgFJafjA,2025-05-13T09:10:07.233843,
sadas;fjdsa'hgFJ,2025-05-13T09:10:12.460713,
sadas;fjdsa'hgFJafjA,2025-05-13T09:10:13.548007,
sadas;fjdsa'hgFJafjA,2025-05-13T09:10:19.953365,
HI,2025-05-13T09:16:19.910441,
HI,2025-05-13T09:16:26.426367,
HI,2025-05-13T09:16:32.806171,
hi,2025-05-13T09:19:22.196419,
hi,2025-05-13T09:19:28.558967,
hi,2025-05-13T09:19:35.031412,
asdkfsdapf,2025-05-13T09:21:11.021331,
asdaslfhadagfg,2025-05-13T09:27:08.149193,
asdaslfhadagfg,2025-05-13T09:27:14.634164,
asdaslfhadagfg,2025-05-13T09:27:20.992951,
hasds,2025-05-13T09:51:32.489684,
hasds,2025-05-13T09:51:39.074753,
hasds,2025-05-13T09:51:45.541049,
How many csv files do I have?,2025-05-13T10:26:55.770183,
What are the faq?,2025-05-13T10:27:32.117568,
show me a code of array indexing,2025-05-13T10:29:51.446022,
show me a code of array indexing,2025-05-13T10:29:54.177675,
